SysNo,ProvinceSysNo,CitySysNo,ProvinceName,CityName,DistrictName,
1,NULL,NULL,北京市,北京市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (1,NULL,NULL,'北京市','北京市','NULL');"
2,1,NULL,北京市,北京市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (2,1,NULL,'北京市','北京市','NULL');"
3,1,2,北京市,北京市,朝阳区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (3,1,2,'北京市','北京市','朝阳区');"
4,1,2,北京市,北京市,海淀区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (4,1,2,'北京市','北京市','海淀区');"
5,1,2,北京市,北京市,东城区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (5,1,2,'北京市','北京市','东城区');"
6,1,2,北京市,北京市,西城区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (6,1,2,'北京市','北京市','西城区');"
7,1,2,北京市,北京市,石景山区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (7,1,2,'北京市','北京市','石景山区');"
8,1,2,北京市,北京市,丰台区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (8,1,2,'北京市','北京市','丰台区');"
9,1,2,北京市,北京市,大兴区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (9,1,2,'北京市','北京市','大兴区');"
10,1,2,北京市,北京市,昌平区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (10,1,2,'北京市','北京市','昌平区');"
11,1,2,北京市,北京市,顺义区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (11,1,2,'北京市','北京市','顺义区');"
12,1,2,北京市,北京市,通州区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (12,1,2,'北京市','北京市','通州区');"
13,1,2,北京市,北京市,房山区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (13,1,2,'北京市','北京市','房山区');"
14,1,2,北京市,北京市,怀柔区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (14,1,2,'北京市','北京市','怀柔区');"
15,1,2,北京市,北京市,平谷区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (15,1,2,'北京市','北京市','平谷区');"
16,1,2,北京市,北京市,门头沟区,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (16,1,2,'北京市','北京市','门头沟区');"
17,1,2,北京市,北京市,密云县,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (17,1,2,'北京市','北京市','密云县');"
18,1,2,北京市,北京市,延庆县,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (18,1,2,'北京市','北京市','延庆县');"
19,NULL,NULL,天津市,NULL,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (19,NULL,NULL,'天津市','NULL','NULL');"
20,NULL,NULL,河北省,NULL,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (20,NULL,NULL,'河北省','NULL','NULL');"
21,NULL,NULL,山西省,NULL,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (21,NULL,NULL,'山西省','NULL','NULL');"
23,NULL,NULL,辽宁省,NULL,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (23,NULL,NULL,'辽宁省','NULL','NULL');"
25,NULL,NULL,黑龙江省,NULL,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (25,NULL,NULL,'黑龙江省','NULL','NULL');"
26,NULL,NULL,上海市,NULL,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (26,NULL,NULL,'上海市','NULL','NULL');"
27,NULL,NULL,江苏省,NULL,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (27,NULL,NULL,'江苏省','NULL','NULL');"
28,NULL,NULL,浙江省,NULL,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (28,NULL,NULL,'浙江省','NULL','NULL');"
29,NULL,NULL,安徽省,NULL,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (29,NULL,NULL,'安徽省','NULL','NULL');"
30,NULL,NULL,福建省,NULL,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (30,NULL,NULL,'福建省','NULL','NULL');"
31,NULL,NULL,江西省,NULL,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (31,NULL,NULL,'江西省','NULL','NULL');"
32,NULL,NULL,山东省,NULL,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (32,NULL,NULL,'山东省','NULL','NULL');"
33,NULL,NULL,河南省,NULL,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (33,NULL,NULL,'河南省','NULL','NULL');"
34,NULL,NULL,湖北省,NULL,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (34,NULL,NULL,'湖北省','NULL','NULL');"
35,NULL,NULL,湖南省,NULL,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (35,NULL,NULL,'湖南省','NULL','NULL');"
36,NULL,NULL,广东省,NULL,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (36,NULL,NULL,'广东省','NULL','NULL');"
37,NULL,NULL,广西壮族自治区,NULL,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (37,NULL,NULL,'广西壮族自治区','NULL','NULL');"
38,NULL,NULL,海南省,NULL,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (38,NULL,NULL,'海南省','NULL','NULL');"
39,NULL,NULL,重庆市,NULL,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (39,NULL,NULL,'重庆市','NULL','NULL');"
40,NULL,NULL,四川省,NULL,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (40,NULL,NULL,'四川省','NULL','NULL');"
44,-999999,-999999,陕西省,NULL,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (44,-999999,-999999,'陕西省','NULL','NULL');"
48,NULL,NULL,新疆维吾尔自治区,NULL,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (48,NULL,NULL,'新疆维吾尔自治区','NULL','NULL');"
49,19,NULL,天津市,天津市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (49,19,NULL,'天津市','天津市','NULL');"
50,20,NULL,河北省,石家庄市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (50,20,NULL,'河北省','石家庄市','NULL');"
51,20,NULL,河北省,唐山市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (51,20,NULL,'河北省','唐山市','NULL');"
52,20,NULL,河北省,秦皇岛市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (52,20,NULL,'河北省','秦皇岛市','NULL');"
53,20,NULL,河北省,邯郸市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (53,20,NULL,'河北省','邯郸市','NULL');"
54,20,NULL,河北省,邢台市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (54,20,NULL,'河北省','邢台市','NULL');"
55,20,NULL,河北省,保定市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (55,20,NULL,'河北省','保定市','NULL');"
